key	province	short_of_province	quarter	gdp
北京市_2011C	北京市	北京	2011C	11404.26
北京市_2011D	北京市	北京	2011D	16011.43
北京市_2012A	北京市	北京	2012A	3761.52
北京市_2012B	北京市	北京	2012B	8348.59
北京市_2012C	北京市	北京	2012C	12678.14
北京市_2012D	北京市	北京	2012D	17801.02
北京市_2013A	北京市	北京	2013A	4101.23
北京市_2013B	北京市	北京	2013B	9112.79
北京市_2013C	北京市	北京	2013C	13766.18
北京市_2013D	北京市	北京	2013D	19500.6
北京市_2014A	北京市	北京	2014A	4412.95
北京市_2014B	北京市	北京	2014B	9769.32
北京市_2014C	北京市	北京	2014C	14774.06
北京市_2014D	北京市	北京	2014D	21330.83
北京市_2015A	北京市	北京	2015A	4773.46
北京市_2015B	北京市	北京	2015B	10578.28
北京市_2015C	北京市	北京	2015C	16002.35
北京市_2015D	北京市	北京	2015D	22968.59
北京市_2016A	北京市	北京	2016A	5451.89
北京市_2016B	北京市	北京	2016B	11413.83
北京市_2016C	北京市	北京	2016C	17367.77
北京市_2016D	北京市	北京	2016D	24899.26
北京市_2017A	北京市	北京	2017A	6040.48
北京市_2017B	北京市	北京	2017B	12406.79
北京市_2017C	北京市	北京	2017C	19569.76
北京市_2017D	北京市	北京	2017D	28000.35
北京市_2018A	北京市	北京	2018A	6801.47
北京市_2018B	北京市	北京	2018B	14051.23
北京市_2018C	北京市	北京	2018C	21511.11
福建省_2005A	福建省	福建	2005A	1253.85
福建省_2005B	福建省	福建	2005B	2926.81
福建省_2005C	福建省	福建	2005C	4649.18
福建省_2005D	福建省	福建	2005D	6560.07
福建省_2006A	福建省	福建	2006A	1349.32
福建省_2006B	福建省	福建	2006B	3150.24
福建省_2006C	福建省	福建	2006C	4928.41
福建省_2006D	福建省	福建	2006D	7501.63
福建省_2007A	福建省	福建	2007A	1567.11
福建省_2007B	福建省	福建	2007B	3752.03
福建省_2007C	福建省	福建	2007C	5941.03
福建省_2007D	福建省	福建	2007D	9160.14
福建省_2008A	福建省	福建	2008A	1865.23
福建省_2008B	福建省	福建	2008B	4528.32
福建省_2008C	福建省	福建	2008C	7121.95
福建省_2008D	福建省	福建	2008D	10823.11
福建省_2009A	福建省	福建	2009A	1965.06
福建省_2009B	福建省	福建	2009B	4747.44
福建省_2009C	福建省	福建	2009C	7584.29
福建省_2009D	福建省	福建	2009D	11949.53
福建省_2010A	福建省	福建	2010A	2339.71
福建省_2010B	福建省	福建	2010B	5727.6
福建省_2010C	福建省	福建	2010C	9085.47
福建省_2010D	福建省	福建	2010D	14357.12
福建省_2011A	福建省	福建	2011A	2930.73
福建省_2011B	福建省	福建	2011B	7042.53
福建省_2011C	福建省	福建	2011C	11030.05
福建省_2011D	福建省	福建	2011D	17410.21
福建省_2012A	福建省	福建	2012A	3311.67
福建省_2012B	福建省	福建	2012B	7982.63
福建省_2012C	福建省	福建	2012C	12470.57
福建省_2012D	福建省	福建	2012D	19701.78
福建省_2013A	福建省	福建	2013A	3713.44
福建省_2013B	福建省	福建	2013B	8855.26
福建省_2013C	福建省	福建	2013C	13887.63
福建省_2013D	福建省	福建	2013D	21759.6
福建省_2014A	福建省	福建	2014A	4037.73
福建省_2014B	福建省	福建	2014B	9733.61
福建省_2014C	福建省	福建	2014C	15212.75
福建省_2014D	福建省	福建	2014D	24055.76
福建省_2015A	福建省	福建	2015A	4355.87
福建省_2015B	福建省	福建	2015B	10468.34
福建省_2015C	福建省	福建	2015C	16398.67
福建省_2015D	福建省	福建	2015D	25979.82
福建省_2016A	福建省	福建	2016A	5784.8
福建省_2016B	福建省	福建	2016B	11815.51
福建省_2016C	福建省	福建	2016C	18287.01
福建省_2016D	福建省	福建	2016D	28519.15
福建省_2017A	福建省	福建	2017A	6535.19
福建省_2017B	福建省	福建	2017B	13289.77
福建省_2017C	福建省	福建	2017C	20674.99
福建省_2017D	福建省	福建	2017D	32298.28
福建省_2018A	福建省	福建	2018A	7307.22
福建省_2018B	福建省	福建	2018B	14840.93
福建省_2018C	福建省	福建	2018C	23311.8
甘肃省_2005A	甘肃省	甘肃	2005A	317.94
甘肃省_2005B	甘肃省	甘肃	2005B	683.79
甘肃省_2005C	甘肃省	甘肃	2005C	1222.34
甘肃省_2005D	甘肃省	甘肃	2005D	1928.14
甘肃省_2006A	甘肃省	甘肃	2006A	423.43
甘肃省_2006B	甘肃省	甘肃	2006B	894.16
甘肃省_2006C	甘肃省	甘肃	2006C	1530.65
甘肃省_2006D	甘肃省	甘肃	2006D	2275
甘肃省_2007A	甘肃省	甘肃	2007A	497.46
甘肃省_2007B	甘肃省	甘肃	2007B	1049.5
甘肃省_2007C	甘肃省	甘肃	2007C	1792.38
甘肃省_2007D	甘肃省	甘肃	2007D	2699.2
甘肃省_2008A	甘肃省	甘肃	2008A	605.13
甘肃省_2008B	甘肃省	甘肃	2008B	1270.62
甘肃省_2008C	甘肃省	甘肃	2008C	2210.14
甘肃省_2008D	甘肃省	甘肃	2008D	3176.11
甘肃省_2009A	甘肃省	甘肃	2009A	589.13
甘肃省_2009B	甘肃省	甘肃	2009B	1264.13
甘肃省_2009C	甘肃省	甘肃	2009C	2287.54
甘肃省_2009D	甘肃省	甘肃	2009D	3382.35
甘肃省_2010A	甘肃省	甘肃	2010A	731.66
甘肃省_2010B	甘肃省	甘肃	2010B	1565.64
甘肃省_2010C	甘肃省	甘肃	2010C	2816.73
甘肃省_2010D	甘肃省	甘肃	2010D	4119.46
甘肃省_2011A	甘肃省	甘肃	2011A	883.07
甘肃省_2011B	甘肃省	甘肃	2011B	1940.65
甘肃省_2011C	甘肃省	甘肃	2011C	3471.4
甘肃省_2011D	甘肃省	甘肃	2011D	5000.47
甘肃省_2012A	甘肃省	甘肃	2012A	1012.95
甘肃省_2012B	甘肃省	甘肃	2012B	2152.47
甘肃省_2012C	甘肃省	甘肃	2012C	3804.28
甘肃省_2012D	甘肃省	甘肃	2012D	5650.2
甘肃省_2013A	甘肃省	甘肃	2013A	1065.38
甘肃省_2013B	甘肃省	甘肃	2013B	2349.57
甘肃省_2013C	甘肃省	甘肃	2013C	4159.55
甘肃省_2013D	甘肃省	甘肃	2013D	6268
甘肃省_2014A	甘肃省	甘肃	2014A	1098.27
甘肃省_2014B	甘肃省	甘肃	2014B	2491.45
甘肃省_2014C	甘肃省	甘肃	2014C	4430.89
甘肃省_2014D	甘肃省	甘肃	2014D	6835.27
甘肃省_2015A	甘肃省	甘肃	2015A	1129.68
甘肃省_2015B	甘肃省	甘肃	2015B	2612.88
甘肃省_2015C	甘肃省	甘肃	2015C	4630.46
甘肃省_2015D	甘肃省	甘肃	2015D	6790.32
甘肃省_2016A	甘肃省	甘肃	2016A	1235.97
甘肃省_2016B	甘肃省	甘肃	2016B	2720.99
甘肃省_2016C	甘肃省	甘肃	2016C	4769.45
甘肃省_2016D	甘肃省	甘肃	2016D	7152.04
甘肃省_2017A	甘肃省	甘肃	2017A	1388.75
甘肃省_2017B	甘肃省	甘肃	2017B	2993.02
甘肃省_2017C	甘肃省	甘肃	2017C	5641.46
甘肃省_2017D	甘肃省	甘肃	2017D	7677
甘肃省_2018A	甘肃省	甘肃	2018A	1575.79
甘肃省_2018B	甘肃省	甘肃	2018B	3497.62
甘肃省_2018C	甘肃省	甘肃	2018C	6043.71
广东省_2005A	广东省	广东	2005A	4089.47
广东省_2005B	广东省	广东	2005B	8902.36
广东省_2005C	广东省	广东	2005C	13981.6
广东省_2005D	广东省	广东	2005D	21701.27
广东省_2006A	广东省	广东	2006A	5206.41
广东省_2006B	广东省	广东	2006B	11416.8
广东省_2006C	广东省	广东	2006C	18153.6
广东省_2006D	广东省	广东	2006D	25968.55
广东省_2007A	广东省	广东	2007A	6125.85
广东省_2007B	广东省	广东	2007B	13544.46
广东省_2007C	广东省	广东	2007C	21489.58
广东省_2007D	广东省	广东	2007D	30673.71
广东省_2008A	广东省	广东	2008A	7194.35
广东省_2008B	广东省	广东	2008B	16018.01
广东省_2008C	广东省	广东	2008C	25299.68
广东省_2008D	广东省	广东	2008D	35696.46
广东省_2009A	广东省	广东	2009A	7687.73
广东省_2009B	广东省	广东	2009B	16538.09
广东省_2009C	广东省	广东	2009C	26418.08
广东省_2009D	广东省	广东	2009D	39081.59
广东省_2010A	广东省	广东	2010A	9128.82
广东省_2010B	广东省	广东	2010B	19668.55
广东省_2010C	广东省	广东	2010C	31542.28
广东省_2010D	广东省	广东	2010D	45472.83
广东省_2011A	广东省	广东	2011A	10549.74
广东省_2011B	广东省	广东	2011B	23421.12
广东省_2011C	广东省	广东	2011C	36953.15
广东省_2011D	广东省	广东	2011D	52673.59
广东省_2012A	广东省	广东	2012A	11510.8
广东省_2012B	广东省	广东	2012B	26200.92
广东省_2012C	广东省	广东	2012C	40685.76
广东省_2012D	广东省	广东	2012D	57067.92
广东省_2013A	广东省	广东	2013A	12612.88
广东省_2013B	广东省	广东	2013B	28465.92
广东省_2013C	广东省	广东	2013C	44471.53
广东省_2013D	广东省	广东	2013D	62164
广东省_2014A	广东省	广东	2014A	13636.91
广东省_2014B	广东省	广东	2014B	30879.09
广东省_2014C	广东省	广东	2014C	48130.36
广东省_2014D	广东省	广东	2014D	67792.24
广东省_2015A	广东省	广东	2015A	14948.57
广东省_2015B	广东省	广东	2015B	34526.64
广东省_2015C	广东省	广东	2015C	52522.38
广东省_2015D	广东省	广东	2015D	72812.55
广东省_2016A	广东省	广东	2016A	17272.24
广东省_2016B	广东省	广东	2016B	37357.59
广东省_2016C	广东省	广东	2016C	57061.17
广东省_2016D	广东省	广东	2016D	79512.05
广东省_2017A	广东省	广东	2017A	19438.05
广东省_2017B	广东省	广东	2017B	41957.84
广东省_2017C	广东省	广东	2017C	64815.38
广东省_2017D	广东省	广东	2017D	89879.23
广东省_2018A	广东省	广东	2018A	21705.29
广东省_2018B	广东省	广东	2018B	46341.93
广东省_2018C	广东省	广东	2018C	70635.22
广西壮族自治区_2005A	广西壮族自治区	广西	2005A	770.13
广西壮族自治区_2005B	广西壮族自治区	广西	2005B	1612.25
广西壮族自治区_2005C	广西壮族自治区	广西	2005C	2480.82
广西壮族自治区_2005D	广西壮族自治区	广西	2005D	4063.25
广西壮族自治区_2006A	广西壮族自治区	广西	2006A	965.3
广西壮族自治区_2006B	广西壮族自治区	广西	2006B	2012.48
广西壮族自治区_2006C	广西壮族自治区	广西	2006C	3066.1
广西壮族自治区_2006D	广西壮族自治区	广西	2006D	4801.98
广西壮族自治区_2007A	广西壮族自治区	广西	2007A	1160.37
广西壮族自治区_2007B	广西壮族自治区	广西	2007B	2386.26
广西壮族自治区_2007C	广西壮族自治区	广西	2007C	3717.97
广西壮族自治区_2007D	广西壮族自治区	广西	2007D	5885.88
广西壮族自治区_2008A	广西壮族自治区	广西	2008A	1414
广西壮族自治区_2008B	广西壮族自治区	广西	2008B	3018.37
广西壮族自治区_2008C	广西壮族自治区	广西	2008C	4701.51
广西壮族自治区_2008D	广西壮族自治区	广西	2008D	7171.58
广西壮族自治区_2009A	广西壮族自治区	广西	2009A	1552.38
广西壮族自治区_2009B	广西壮族自治区	广西	2009B	3225.75
广西壮族自治区_2009C	广西壮族自治区	广西	2009C	5074.18
广西壮族自治区_2009D	广西壮族自治区	广西	2009D	7700.36
广西壮族自治区_2010A	广西壮族自治区	广西	2010A	1845.81
广西壮族自治区_2010B	广西壮族自治区	广西	2010B	3833.21
广西壮族自治区_2010C	广西壮族自治区	广西	2010C	6030.17
广西壮族自治区_2010D	广西壮族自治区	广西	2010D	9502.39
广西壮族自治区_2011A	广西壮族自治区	广西	2011A	2247.86
广西壮族自治区_2011B	广西壮族自治区	广西	2011B	4720.1
广西壮族自治区_2011C	广西壮族自治区	广西	2011C	7438.04
广西壮族自治区_2011D	广西壮族自治区	广西	2011D	11714.35
广西壮族自治区_2012A	广西壮族自治区	广西	2012A	2546.72
广西壮族自治区_2012B	广西壮族自治区	广西	2012B	5329.54
广西壮族自治区_2012C	广西壮族自治区	广西	2012C	8296.01
广西壮族自治区_2012D	广西壮族自治区	广西	2012D	13031.04
广西壮族自治区_2013A	广西壮族自治区	广西	2013A	2779.39
广西壮族自治区_2013B	广西壮族自治区	广西	2013B	5810.18
广西壮族自治区_2013C	广西壮族自治区	广西	2013C	9007.22
广西壮族自治区_2013D	广西壮族自治区	广西	2013D	14378
广西壮族自治区_2014A	广西壮族自治区	广西	2014A	3014.36
广西壮族自治区_2014B	广西壮族自治区	广西	2014B	6327.87
广西壮族自治区_2014C	广西壮族自治区	广西	2014C	9792.2
广西壮族自治区_2014D	广西壮族自治区	广西	2014D	15672.97
广西壮族自治区_2015A	广西壮族自治区	广西	2015A	3226.02
广西壮族自治区_2015B	广西壮族自治区	广西	2015B	6769.45
广西壮族自治区_2015C	广西壮族自治区	广西	2015C	10430.75
广西壮族自治区_2015D	广西壮族自治区	广西	2015D	16803.12
广西壮族自治区_2016A	广西壮族自治区	广西	2016A	3480.32
广西壮族自治区_2016B	广西壮族自治区	广西	2016B	7311.64
广西壮族自治区_2016C	广西壮族自治区	广西	2016C	11345.53
广西壮族自治区_2016D	广西壮族自治区	广西	2016D	18245.07
广西壮族自治区_2017A	广西壮族自治区	广西	2017A	3909.53
广西壮族自治区_2017B	广西壮族自治区	广西	2017B	8179.81
广西壮族自治区_2017C	广西壮族自治区	广西	2017C	12757.93
广西壮族自治区_2017D	广西壮族自治区	广西	2017D	20396.25
广西壮族自治区_2018A	广西壮族自治区	广西	2018A	4271.31
广西壮族自治区_2018B	广西壮族自治区	广西	2018B	8762.63
广西壮族自治区_2018C	广西壮族自治区	广西	2018C	12863.07
贵州省_2005A	贵州省	贵州	2005A	322.94
贵州省_2005B	贵州省	贵州	2005B	794.88
贵州省_2005C	贵州省	贵州	2005C	1256.68
贵州省_2005D	贵州省	贵州	2005D	1942
贵州省_2006A	贵州省	贵州	2006A	389.39
贵州省_2006B	贵州省	贵州	2006B	973.56
贵州省_2006C	贵州省	贵州	2006C	1496.89
贵州省_2006D	贵州省	贵州	2006D	2267.43
贵州省_2007A	贵州省	贵州	2007A	458.28
贵州省_2007B	贵州省	贵州	2007B	1165.4
贵州省_2007C	贵州省	贵州	2007C	1810.27
贵州省_2007D	贵州省	贵州	2007D	2710.28
贵州省_2008A	贵州省	贵州	2008A	499.22
贵州省_2008B	贵州省	贵州	2008B	1392.4
贵州省_2008C	贵州省	贵州	2008C	2210.27
贵州省_2008D	贵州省	贵州	2008D	3333.4
贵州省_2009A	贵州省	贵州	2009A	578.22
贵州省_2009B	贵州省	贵州	2009B	1496.27
贵州省_2009C	贵州省	贵州	2009C	2361.98
贵州省_2009D	贵州省	贵州	2009D	3893.51
贵州省_2010A	贵州省	贵州	2010A	700.92
贵州省_2010B	贵州省	贵州	2010B	1855.63
贵州省_2010C	贵州省	贵州	2010C	2960.6
贵州省_2010D	贵州省	贵州	2010D	4593.97
贵州省_2011A	贵州省	贵州	2011A	849.75
贵州省_2011B	贵州省	贵州	2011B	2278.06
贵州省_2011C	贵州省	贵州	2011C	3632.96
贵州省_2011D	贵州省	贵州	2011D	5701.84
贵州省_2012A	贵州省	贵州	2012A	1071.25
贵州省_2012B	贵州省	贵州	2012B	2790.88
贵州省_2012C	贵州省	贵州	2012C	4400.08
贵州省_2012D	贵州省	贵州	2012D	6802.2
贵州省_2013A	贵州省	贵州	2013A	1231.86
贵州省_2013B	贵州省	贵州	2013B	3249.85
贵州省_2013C	贵州省	贵州	2013C	5110.66
贵州省_2013D	贵州省	贵州	2013D	8006.8
贵州省_2014A	贵州省	贵州	2014A	1421.15
贵州省_2014B	贵州省	贵州	2014B	3780.31
贵州省_2014C	贵州省	贵州	2014C	6169.53
贵州省_2014D	贵州省	贵州	2014D	9251.01
贵州省_2015A	贵州省	贵州	2015A	1659.39
贵州省_2015B	贵州省	贵州	2015B	4351.07
贵州省_2015C	贵州省	贵州	2015C	7195.58
贵州省_2015D	贵州省	贵州	2015D	10502.56
贵州省_2016A	贵州省	贵州	2016A	2102.97
贵州省_2016B	贵州省	贵州	2016B	4936.61
贵州省_2016C	贵州省	贵州	2016C	8135.38
贵州省_2016D	贵州省	贵州	2016D	11734.43
贵州省_2017A	贵州省	贵州	2017A	2504.83
贵州省_2017B	贵州省	贵州	2017B	5732.35
贵州省_2017C	贵州省	贵州	2017C	9499.53
贵州省_2017D	贵州省	贵州	2017D	13540.83
贵州省_2018A	贵州省	贵州	2018A	2904.79
贵州省_2018B	贵州省	贵州	2018B	6632.86
贵州省_2018C	贵州省	贵州	2018C	10401.39
海南省_2005A	海南省	海南	2005A	167.74
海南省_2005B	海南省	海南	2005B	402.39
海南省_2005C	海南省	海南	2005C	615.71
海南省_2005D	海南省	海南	2005D	893.14
海南省_2006A	海南省	海南	2006A	216.71
海南省_2006B	海南省	海南	2006B	491.55
海南省_2006C	海南省	海南	2006C	763.74
海南省_2006D	海南省	海南	2006D	1052.43
海南省_2007A	海南省	海南	2007A	254.87
海南省_2007B	海南省	海南	2007B	575.37
海南省_2007C	海南省	海南	2007C	894.89
海南省_2007D	海南省	海南	2007D	1229.64
海南省_2008A	海南省	海南	2008A	308.04
海南省_2008B	海南省	海南	2008B	707.66
海南省_2008C	海南省	海南	2008C	1062.75
海南省_2008D	海南省	海南	2008D	1459.23
海南省_2009A	海南省	海南	2009A	332.41
海南省_2009B	海南省	海南	2009B	754.15
海南省_2009C	海南省	海南	2009C	1129.15
海南省_2009D	海南省	海南	2009D	1646.6
海南省_2010A	海南省	海南	2010A	479.67
海南省_2010B	海南省	海南	2010B	1018.19
海南省_2010C	海南省	海南	2010C	1500.42
海南省_2010D	海南省	海南	2010D	2052.12
海南省_2011A	海南省	海南	2011A	575.53
海南省_2011B	海南省	海南	2011B	1222.28
海南省_2011C	海南省	海南	2011C	1818.15
海南省_2011D	海南省	海南	2011D	2515.29
海南省_2012A	海南省	海南	2012A	652.6
海南省_2012B	海南省	海南	2012B	1370.86
海南省_2012C	海南省	海南	2012C	2026.38
海南省_2012D	海南省	海南	2012D	2855.26
海南省_2013A	海南省	海南	2013A	734.62
海南省_2013B	海南省	海南	2013B	1516.69
海南省_2013C	海南省	海南	2013C	2224.57
海南省_2013D	海南省	海南	2013D	3146.5
海南省_2014A	海南省	海南	2014A	815.05
海南省_2014B	海南省	海南	2014B	1675.57
海南省_2014C	海南省	海南	2014C	2453.5
海南省_2014D	海南省	海南	2014D	3500.72
海南省_2015A	海南省	海南	2015A	840.05
海南省_2015B	海南省	海南	2015B	1808.57
海南省_2015C	海南省	海南	2015C	2643.53
海南省_2015D	海南省	海南	2015D	3702.76
海南省_2016A	海南省	海南	2016A	944.57
海南省_2016B	海南省	海南	2016B	2008.95
海南省_2016C	海南省	海南	2016C	2880.88
海南省_2016D	海南省	海南	2016D	4044.51
海南省_2017A	海南省	海南	2017A	1056.39
海南省_2017B	海南省	海南	2017B	2198.23
海南省_2017C	海南省	海南	2017C	3213.68
海南省_2017D	海南省	海南	2017D	4462.54
海南省_2018A	海南省	海南	2018A	1185.25
海南省_2018B	海南省	海南	2018B	2434.88
海南省_2018C	海南省	海南	2018C	3546.92
河北省_2005A	河北省	河北	2005A	1941.61
河北省_2005B	河北省	河北	2005B	4766.76
河北省_2005C	河北省	河北	2005C	7492.8
河北省_2005D	河北省	河北	2005D	10116.56
河北省_2006A	河北省	河北	2006A	2084.27
河北省_2006B	河北省	河北	2006B	5146.91
河北省_2006C	河北省	河北	2006C	8321.37
河北省_2006D	河北省	河北	2006D	11613.7
河北省_2007A	河北省	河北	2007A	2450.1
河北省_2007B	河北省	河北	2007B	6037.28
河北省_2007C	河北省	河北	2007C	9879.99
河北省_2007D	河北省	河北	2007D	13863.5
河北省_2008A	河北省	河北	2008A	2963.95
河北省_2008B	河北省	河北	2008B	7375.81
河北省_2008C	河北省	河北	2008C	11822.48
河北省_2008D	河北省	河北	2008D	16188.61
河北省_2009A	河北省	河北	2009A	3023.46
河北省_2009B	河北省	河北	2009B	7513.56
河北省_2009C	河北省	河北	2009C	12212.87
河北省_2009D	河北省	河北	2009D	17026.6
河北省_2010A	河北省	河北	2010A	3665.2
河北省_2010B	河北省	河北	2010B	9083.52
河北省_2010C	河北省	河北	2010C	14641.23
河北省_2010D	河北省	河北	2010D	20197.09
河北省_2011A	河北省	河北	2011A	4396.11
河北省_2011B	河北省	河北	2011B	10992.43
河北省_2011C	河北省	河北	2011C	17821.94
河北省_2011D	河北省	河北	2011D	24228.18
河北省_2012A	河北省	河北	2012A	4919.97
河北省_2012B	河北省	河北	2012B	12219.21
河北省_2012C	河北省	河北	2012C	19581.85
河北省_2012D	河北省	河北	2012D	26575.01
河北省_2013A	河北省	河北	2013A	5312.15
河北省_2013B	河北省	河北	2013B	13154.58
河北省_2013C	河北省	河北	2013C	20947.32
河北省_2013D	河北省	河北	2013D	28301.4
河北省_2014A	河北省	河北	2014A	5426.83
河北省_2014B	河北省	河北	2014B	13640
河北省_2014C	河北省	河北	2014C	21709.99
河北省_2014D	河北省	河北	2014D	29421.15
河北省_2015A	河北省	河北	2015A	6029.46
河北省_2015B	河北省	河北	2015B	13798.13
河北省_2015C	河北省	河北	2015C	21280.18
河北省_2015D	河北省	河北	2015D	29806.11
河北省_2016A	河北省	河北	2016A	6487.44
河北省_2016B	河北省	河北	2016B	14467.69
河北省_2016C	河北省	河北	2016C	22496.12
河北省_2016D	河北省	河北	2016D	31827.86
河北省_2017A	河北省	河北	2017A	7512.43
河北省_2017B	河北省	河北	2017B	16404.87
河北省_2017C	河北省	河北	2017C	25603.47
河北省_2017D	河北省	河北	2017D	35964
河北省_2018A	河北省	河北	2018A	7564.02
河北省_2018B	河北省	河北	2018B	16600.54
河北省_2018C	河北省	河北	2018C	25226.33
河南省_2005A	河南省	河南	2005A	2101.03
河南省_2005B	河南省	河南	2005B	4862.88
河南省_2005C	河南省	河南	2005C	7950.46
河南省_2005D	河南省	河南	2005D	10535.2
河南省_2006A	河南省	河南	2006A	2378.92
河南省_2006B	河南省	河南	2006B	5506.89
河南省_2006C	河南省	河南	2006C	9012.16
河南省_2006D	河南省	河南	2006D	12464.09
河南省_2007A	河南省	河南	2007A	2872.92
河南省_2007B	河南省	河南	2007B	6817.02
河南省_2007C	河南省	河南	2007C	11094.78
河南省_2007D	河南省	河南	2007D	15058.07
河南省_2008A	河南省	河南	2008A	3658.01
河南省_2008B	河南省	河南	2008B	8593.53
河南省_2008C	河南省	河南	2008C	13902.26
河南省_2008D	河南省	河南	2008D	18407.78
河南省_2009A	河南省	河南	2009A	4067.44
河南省_2009B	河南省	河南	2009B	8962.8
河南省_2009C	河南省	河南	2009C	14561.5
河南省_2009D	河南省	河南	2009D	19367.28
河南省_2010A	河南省	河南	2010A	4752.01
河南省_2010B	河南省	河南	2010B	10461.25
河南省_2010C	河南省	河南	2010C	16937.95
河南省_2010D	河南省	河南	2010D	22942.68
河南省_2011A	河南省	河南	2011A	5615.44
河南省_2011B	河南省	河南	2011B	12404.68
河南省_2011C	河南省	河南	2011C	20370.43
河南省_2011D	河南省	河南	2011D	27232.04
河南省_2012A	河南省	河南	2012A	6428.7
河南省_2012B	河南省	河南	2012B	13530.55
河南省_2012C	河南省	河南	2012C	22171.49
河南省_2012D	河南省	河南	2012D	29810.14
河南省_2013A	河南省	河南	2013A	6993.68
河南省_2013B	河南省	河南	2013B	14556.63
河南省_2013C	河南省	河南	2013C	23516.02
河南省_2013D	河南省	河南	2013D	32155.9
河南省_2014A	河南省	河南	2014A	7456.88
河南省_2014B	河南省	河南	2014B	15778.62
